time,block,fee-rate,function,sender,,,,,,,,,
2021-09-08T19:12:10.000Z,29110,23240,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5193)) (series-id u937))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #1""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/52d4dc02-dde0-4513-a4a8-31f937594d0c.jpeg,image/jpeg,"(list (tuple (hash 0x08ea776bb958c5f7a031f674f97bc958b89d13ebacab6e96382e509677992b7d) (mime-type ""image/jpeg"") (name u""BTC ROCK #1 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/52d4dc02-dde0-4513-a4a8-31f937594d0c.jpeg"")))"
2021-09-12T05:00:05.000Z,29538,233200,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5239)) (series-id u961))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #10""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/6a4ec164-8ec4-4077-b616-77db97022620.jpeg,image/jpeg,"(list (tuple (hash 0xadde284f674f0d3d323c706b331600b9f1111d60bae7955dadda3e017524933a) (mime-type ""image/jpeg"") (name u""BTC ROCK #10 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/6a4ec164-8ec4-4077-b616-77db97022620.jpeg"")))"
2021-09-12T05:00:05.000Z,29538,2332,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5240)) (series-id u962))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #11""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e41aba90-3b86-4e6a-a876-05b6b76bceb4.jpeg,image/jpeg,"(list (tuple (hash 0x17f947e671afc209bed30410c8c0263973ed2abd8c649a3815992fad1e8e3f70) (mime-type ""image/jpeg"") (name u""BTC ROCK #11 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e41aba90-3b86-4e6a-a876-05b6b76bceb4.jpeg"")))"
2021-09-12T05:00:05.000Z,29538,2332,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5241)) (series-id u963))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #12""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e86f3f03-2893-45e6-9516-121ef2d4acf6.jpeg,image/jpeg,"(list (tuple (hash 0x8c3d67969434c2b416e2368e6eca8891353d55c62cdf3c7e36f80333872c1485) (mime-type ""image/jpeg"") (name u""BTC ROCK #12 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e86f3f03-2893-45e6-9516-121ef2d4acf6.jpeg"")))"
2021-09-12T05:00:05.000Z,29538,2332,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5242)) (series-id u964))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #13""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/b5243356-83fb-4f93-86bd-67d4498c0b7c.jpeg,image/jpeg,"(list (tuple (hash 0x7c25f66ebec5ad4c89dbb52a8c57609f832e759580d5f3c87cc1fb8691c87e4a) (mime-type ""image/jpeg"") (name u""BTC ROCK #13 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/b5243356-83fb-4f93-86bd-67d4498c0b7c.jpeg"")))"
2021-09-12T05:00:05.000Z,29538,2332,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5243)) (series-id u965))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #14""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/9423daf1-fbd2-40c7-8300-c1e013ceb598.jpeg,image/jpeg,"(list (tuple (hash 0x4c9ce20d87582de5e48c3e283ec8910f5c87b121933c832ba4d8bcdc67a200f2) (mime-type ""image/jpeg"") (name u""BTC ROCK #14 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/9423daf1-fbd2-40c7-8300-c1e013ceb598.jpeg"")))"
2021-09-16T14:19:24.000Z,30120,23320,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5353)) (series-id u999))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #15""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/7975d2da-aa8d-4eaa-be2f-610b4986e1f3.jpeg,image/jpeg,"(list (tuple (hash 0x806023205f4f411e6a5b85645b8c01ed9caa6772736ea192c40772ed44a9f42e) (mime-type ""image/jpeg"") (name u""BTC ROCK #15 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/7975d2da-aa8d-4eaa-be2f-610b4986e1f3.jpeg"")))"
2021-09-12T05:02:51.000Z,29539,23320,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5244)) (series-id u966))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #15""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/b7f6eeea-b10c-402c-b132-0d72fe95c4a2.jpeg,image/jpeg,"(list (tuple (hash 0x806023205f4f411e6a5b85645b8c01ed9caa6772736ea192c40772ed44a9f42e) (mime-type ""image/jpeg"") (name u""BTC ROCK #15 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/b7f6eeea-b10c-402c-b132-0d72fe95c4a2.jpeg"")))"
2021-09-16T14:19:24.000Z,30120,23320,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5351)) (series-id u997))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #16""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/66bf4e01-6c16-4ee9-991a-31bd248e0a12.jpeg,image/jpeg,"(list (tuple (hash 0xc4e82fcc62f220a42296c7a7801cf8608ab59674d72834b8b070f15afadc4889) (mime-type ""image/jpeg"") (name u""BTC ROCK #16 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/66bf4e01-6c16-4ee9-991a-31bd248e0a12.jpeg"")))"
2021-09-12T05:02:51.000Z,29539,2332,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5245)) (series-id u967))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #16""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/5b826d61-b3c2-470c-a696-99208f8a0881.jpeg,image/jpeg,"(list (tuple (hash 0xc4e82fcc62f220a42296c7a7801cf8608ab59674d72834b8b070f15afadc4889) (mime-type ""image/jpeg"") (name u""BTC ROCK #16 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/5b826d61-b3c2-470c-a696-99208f8a0881.jpeg"")))"
2021-09-16T14:19:24.000Z,30120,23320,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5352)) (series-id u998))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #17""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/f1de4c63-b732-4188-8efd-7e14fbc547f6.jpeg,image/jpeg,"(list (tuple (hash 0x9de13502a19fff0e8322c0f2ed5616a1f82b1bd51225693a36ebf2cdffe33726) (mime-type ""image/jpeg"") (name u""BTC ROCK #17 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/f1de4c63-b732-4188-8efd-7e14fbc547f6.jpeg"")))"
